!SESSION 2019-12-14 10:40:59.612 -----------------------------------------------
eclipse.buildId=4.12.0.I20190605-1800
java.fullversion=1.8.0_212-b04
JRE 1.8.0 Windows 8 amd64-64-Bit Compressed References 20190521_368 (JIT enabled, AOT enabled)
OpenJ9   - 4b1df46fe
OMR      - b56045d2
JCL      - a8c217d402 based on jdk8u212-b04
BootLoader constants: OS=win32, ARCH=x86_64, WS=win32, NL=en_US
Framework arguments:  -product org.eclipse.epp.package.jee.product
Command-line arguments:  -os win32 -ws win32 -arch x86_64 -product org.eclipse.epp.package.jee.product

This is a continuation of log file C:\Users\user\eclipse-workspace\.metadata\.bak_1.log
Created Time: 2019-12-14 12:32:37.736

!ENTRY org.springframework.tooling.ls.eclipse.commons 1 0 2019-12-14 12:32:37.743
!MESSAGE classpath=34 entries

!ENTRY org.springframework.tooling.ls.eclipse.commons 1 0 2019-12-14 12:32:37.751
!MESSAGE Preparing classpath changed notification StudResult

!ENTRY org.springframework.tooling.ls.eclipse.commons 1 0 2019-12-14 12:32:37.757
!MESSAGE classpath=34 entries

!ENTRY org.springframework.tooling.ls.eclipse.commons 1 0 2019-12-14 12:32:37.764
!MESSAGE classpath=34 entries

!ENTRY org.springframework.tooling.ls.eclipse.commons 1 0 2019-12-14 12:32:37.772
!MESSAGE exists = true open = true => deleted = false

!ENTRY org.springframework.tooling.ls.eclipse.commons 1 0 2019-12-14 12:32:37.779
!MESSAGE exists = true open = true => deleted = false

!ENTRY org.springframework.tooling.ls.eclipse.commons 1 0 2019-12-14 12:32:37.786
!MESSAGE Preparing classpath changed notification SpringMvc

!ENTRY org.springframework.tooling.ls.eclipse.commons 1 0 2019-12-14 12:32:37.794
!MESSAGE Preparing classpath changed notification StudResult

!ENTRY org.springframework.tooling.ls.eclipse.commons 1 0 2019-12-14 12:32:37.801
!MESSAGE Preparing classpath changed notification SpringMvc

!ENTRY org.springframework.tooling.ls.eclipse.commons 1 0 2019-12-14 12:32:37.808
!MESSAGE buffering callback sts4.classpath.QdLQdOLV SpringMvc false 34

!ENTRY org.springframework.tooling.ls.eclipse.commons 1 0 2019-12-14 12:32:37.817
!MESSAGE classpath=26 entries

!ENTRY org.springframework.tooling.ls.eclipse.commons 1 0 2019-12-14 12:32:37.824
!MESSAGE Preparing classpath changed notification StudResult

!ENTRY org.springframework.tooling.ls.eclipse.commons 1 0 2019-12-14 12:32:37.831
!MESSAGE buffering callback sts4.classpath.imOjdpfm SpringMvc false 34

!ENTRY org.springframework.tooling.ls.eclipse.commons 1 0 2019-12-14 12:32:37.839
!MESSAGE buffering callback sts4.classpath.DXrjFDQA SpringMvc false 34

!ENTRY org.springframework.tooling.ls.eclipse.commons 1 0 2019-12-14 12:32:37.846
!MESSAGE classpath=34 entries

!ENTRY org.springframework.tooling.ls.eclipse.commons 1 0 2019-12-14 12:32:37.853
!MESSAGE exists = true open = true => deleted = false

!ENTRY org.springframework.tooling.ls.eclipse.commons 1 0 2019-12-14 12:32:37.935
!MESSAGE exists = true open = true => deleted = false

!ENTRY org.springframework.tooling.ls.eclipse.commons 1 0 2019-12-14 12:32:37.943
!MESSAGE classpath=26 entries

!ENTRY org.springframework.tooling.ls.eclipse.commons 1 0 2019-12-14 12:32:37.956
!MESSAGE Preparing classpath changed notification SpringMvc

!ENTRY org.springframework.tooling.ls.eclipse.commons 1 0 2019-12-14 12:32:37.974
!MESSAGE buffering callback sts4.classpath.kIXbmwJZ SpringMvc false 34

!ENTRY org.springframework.tooling.ls.eclipse.commons 1 0 2019-12-14 12:32:37.982
!MESSAGE exists = true open = true => deleted = false

!ENTRY org.springframework.tooling.ls.eclipse.commons 1 0 2019-12-14 12:32:37.990
!MESSAGE classpath=26 entries

!ENTRY org.springframework.tooling.ls.eclipse.commons 1 0 2019-12-14 12:32:37.998
!MESSAGE buffering callback sts4.classpath.MKKCijKQ SpringMvc false 34

